anchoredTo,nAnnotations
https://iconclass.org/73D5,3
http://www.wikidata.org/entity/Q1636061,2
http://www.wikidata.org/entity/Q46373,2
http://www.wikidata.org/entity/Q1237596,2
http://www.wikidata.org/entity/Q153048,1
https://iconclass.org/73D72,1
https://iconclass.org/11H(FRANCIS)131,1
https://iconclass.org/11H(FRANCIS)51,1
https://iconclass.org/71C244,1
https://iconclass.org/11H(FRANCIS)2,1
http://www.wikidata.org/entity/Q345,1
http://www.wikidata.org/entity/Q137759955,1
http://www.wikidata.org/entity/Q94414021,1
http://www.wikidata.org/entity/Q15617809,1
http://www.wikidata.org/entity/Q15617727,1
http://www.wikidata.org/entity/Q2478403,1
http://www.wikidata.org/entity/Q494762,1
http://www.wikidata.org/entity/Q693288,1
http://www.wikidata.org/entity/Q41567,1
http://www.wikidata.org/entity/Q1362663,1
http://www.wikidata.org/entity/Q1222097,1
http://www.wikidata.org/entity/Q5597,1
http://www.wikidata.org/entity/Q122290,1
http://www.wikidata.org/entity/Q3164251,1
http://www.wikidata.org/entity/Q3202120,1
http://viaf.org/viaf/457159474184327661576,1
http://www.wikidata.org/entity/Q2226355,1
http://www.wikidata.org/entity/Q2619037,1
http://www.wikidata.org/entity/Q289255,1
http://www.wikidata.org/entity/Q1236032,1
http://www.wikidata.org/entity/Q153739,1
https://viaf.org/fr/viaf/7400206,1
http://id.bildindex.de/thing/0001352477,1
http://www.wikidata.org/entity/Q37571,1
http://www.wikidata.org/entity/Q153441,1
https://iconclass.org/31AA235,1
http://www.wikidata.org/entity/Q2110302,1
http://www.wikidata.org/entity/Q1109475,1
http://www.wikidata.org/entity/Q3842621,1
http://www.wikidata.org/entity/Q3276414,1
http://www.wikidata.org/entity/Q18572427,1
http://www.wikidata.org/entity/Q7759428,1
http://www.wikidata.org/entity/Q18572299,1
http://www.wikidata.org/entity/Q20268270,1
http://www.wikidata.org/entity/Q3947516,1
https://iconclass.org/11H(BENEDICT)562,1
https://iconclass.org/11H(BENEDICT)54,1
https://iconclass.org/11H(BENEDICT)532,1
http://vocab.getty.edu/page/aat/300037892,1
http://www.wikidata.org/entity/Q3974472,1
http://www.wikidata.org/entity/Q3686606,1
